Text,Prediction,Actual
chocafellas,Sand/Caf/Bake,Desserts
roberto's takeaway,Pizza,Fish & Chips
h.a's mexican food,Pizza,Sand/Caf/Bake
zams peri peri,Chicken,Pizza
mamas pizzeria,Pizza,Kebab
solent grill,Kebab,Pizza
bd kitchen,Chinese,Indian
gourmet grill and bistro,Kebab,Pizza
grillford restaurant,Kebab,Indian
the cochin,Chinese,Indian
city grill and peri peri,Kebab,Chicken
hetton delight,Fish & Chips,Kebab
strip joint,Indian,Pizza
dera,Pizza,Indian
the grill co,Chicken,Pizza
icy spot,Indian,Desserts
bar b q base,Kebab,Pizza
dera restaurant,Kebab,Indian
the red lantern restaurant,Indian,Chinese
chickano,Pizza,Chicken
munchies @ leisureland,Chicken,Sand/Caf/Bake
naz takeaway,Indian,Pizza
two sisters,Chinese,Sand/Caf/Bake
quick bite,Chicken,Pizza
britannia grill,Pizza,Kebab
porta via del greco,Pizza,Fish & Chips
tropics grill and bites,Sand/Caf/Bake,Chicken
lean and green,Indian,Sand/Caf/Bake
moodys takeaway,Chinese,Pizza
ace,Indian,Pizza
chunkies,Desserts,Chicken
globes best grill,Kebab,Pizza
tasty bite,Chicken,Indian
variety diner southampton,Kebab,Sand/Caf/Bake
ditta's fastfood,Kebab,Pizza
frindsbury grill,Indian,Kebab
devran restaurant,Indian,Kebab
generous,Pizza,Kebab
morelli's easthouses,Pizza,Fish & Chips
rogon,Chinese,Indian
ruby ruby,Chinese,Indian
pings,Chicken,Chinese
sizzla grill,Pizza,Kebab
wait-a-bit carribean takeaway,Chicken,Sand/Caf/Bake
the front room,Sand/Caf/Bake,Indian
new yummies,Chinese,Kebab
barolo restaurant,Indian,Pizza
seven tastes,Indian,Chinese
grill out,Chicken,Kebab
taza grill,Chicken,Kebab
fusion grill,Pizza,Kebab
deep blue,Pizza,Fish & Chips
reddish express,Indian,Pizza
froyo island,Chicken,Desserts
eat well kitchen,Chinese,Sand/Caf/Bake
monsun,Chinese,Indian
crookston cafe and desserts,Desserts,Sand/Caf/Bake
wright bite,Kebab,Sand/Caf/Bake
tasty village,Chinese,Indian
west street diner,Kebab,Kebab
captain cook's,Fish & Chips,Pizza
charlie chans,Indian,Chinese
oldham good father fried chicken and pizzeria,Fast Food,Chicken
blue tiger,Indian,Indian
rajas appertisers bar,Pizza,Pizza
new chico's grill house,Chicken,Kebab
adorable delights,Indian,Desserts
the grill brothers,Chicken,Kebab
hot take,Pizza,Chinese
king fish kebab house,Fish & Chips,Kebab
dee arab bites,Indian,Sand/Caf/Bake
jam down,Chinese,Chicken
gazebo's by ignite,Pizza,Kebab
the ottoman doner london,Pizza,Kebab
sunshine grill,Chinese,Kebab
rochester grill,Chicken,Kebab
beebs bubbles,Sand/Caf/Bake,Desserts
tika taco,Indian,Sand/Caf/Bake
chef's place takeaway,Fish & Chips,Pizza
pristine restaurant,Kebab,Indian
sunny's kitchen,Sand/Caf/Bake,Chinese
blue sky,Fish & Chips,Chinese
the grill house,Pizza,Pizza
rio's gourmet grill,Kebab,Chicken
anedo finger licking restaurant and bar,Chicken,Chicken
harlequin,Indian,Pizza
the scotsman,Desserts,Indian
chef's takeaway,Indian,Pizza
the black olive,Pizza,Pizza
lansdown diner,Sand/Caf/Bake,Sand/Caf/Bake
tiger chilly,Chinese,Indian
the george,Indian,Pizza
giuseppe's,Fish & Chips,Pizza
dannys,Pizza,Kebab
hiba's cuisine,Chinese,Indian
prestige patisserie,Chicken,Desserts
modern cuisine restaurant,Indian,Chinese
guru express,Chinese,Indian
grand kitchen,Indian,Chinese
yuwie's good food diner,Chinese,Sand/Caf/Bake
express grill house,Kebab,Pizza
chefs inn,Indian,Chinese
cosmos canvey,Desserts,Pizza
chummy yummy,Sand/Caf/Bake,Chinese
top friars,Fish & Chips,Fish & Chips
lokanta,Chinese,Kebab
avanti,Indian,Pizza
nessas,Indian,Indian
wraps 4 u,Pizza,Sand/Caf/Bake
piccolo restaurant,Indian,Pizza
dandans caribbean restaurant and takeaway,Chicken,Desserts
laziza bites,Chicken,Indian
enzos,Kebab,Pizza
the toby takeaway,Pizza,Fish & Chips
the cliff,Indian,Fish & Chips
east ocean,Fish & Chips,Chinese
vanillaz,Pizza,Desserts
romy's and family,Fish & Chips,Fish & Chips
zara,Indian,Pizza
cleopatra grill,Pizza,Kebab
yogyums frozen yoghurt bar,Chinese,Desserts
table 21,Indian,Indian
crispy,Pizza,Pizza
new dewaniam,Chinese,Indian
chaps,Fish & Chips,Fish & Chips
momo's express,Pizza,Chicken
city of paris,Kebab,Indian
cousins takeway,Kebab,Kebab
crumbags,Indian,Sand/Caf/Bake
pippin's corner,Sand/Caf/Bake,Sand/Caf/Bake
koolba,Indian,Indian
taste of orient,Indian,Chinese
caribbean lunch boxx,Chicken,Sand/Caf/Bake
zari,Pizza,Indian
melt box,Sand/Caf/Bake,Desserts
grillish,Chicken,Chicken
jayho,Chinese,Indian
fiveways grill,Pizza,Kebab
qwick bites,Sand/Caf/Bake,Sand/Caf/Bake
grill 32,Chicken,Chicken
the gold sea,Chinese,Fish & Chips
chatham grill,Kebab,Kebab
toppings,Chinese,Pizza
dave's takeaway,Pizza,Fish & Chips
jeffs of kingsway,Indian,Kebab
dum dums croydon @ boxpark,Desserts,Desserts
the friery takeaway,Fish & Chips,Fish & Chips
gourmet express,Pizza,Chinese
joy charminster,Indian,Indian
vanilla joe's,Pizza,Desserts
grind 'n' bake,Sand/Caf/Bake,Sand/Caf/Bake
cafe indulgence,Indian,Sand/Caf/Bake
mygrillz,Kebab,Kebab
cairo zaks,Pizza,Pizza
roopnagor,Indian,Indian
kebab plaice,Fish & Chips,Kebab
pejis 1,Kebab,Pizza
graziano's takeaway,Pizza,Fish & Chips
mama flo's,Chicken,Chicken
a la turka takeaway,Pizza,Pizza
top o' the brae,Fish & Chips,Fish & Chips
chill and grill,Indian,Kebab
yasmine lebanese,Chinese,Kebab
taste of peshawar,Kebab,Indian
dr delicious,Desserts,Desserts
bites and delights,Desserts,Sand/Caf/Bake
the dolphin,Indian,Fish & Chips
village,Indian,Indian
moo lab,Chinese,Desserts
transylvania restaurant,Pizza,Pizza
guidis heathfield store,Pizza,Fish & Chips
fuda,Desserts,Chinese
mc's takeaway,Pizza,Pizza
munch house,Chicken,Chicken
the hot spot,Kebab,Kebab
night bar,Kebab,Kebab
black and whit3,Sand/Caf/Bake,Sand/Caf/Bake
hox express,Pizza,Chinese
chaudhry's tkc,Indian,Indian
fredo's ldn,Fish & Chips,Pizza
one stop takeaway,Pizza,Fish & Chips
love krispy,Desserts,Chicken
the lombok,Desserts,Chinese
tongue and brisket,Sand/Caf/Bake,Sand/Caf/Bake
the steak box,Sand/Caf/Bake,Sand/Caf/Bake
emilia's delaroma,Pizza,Pizza
everest abercorn,Indian,Indian
meiwei london,Indian,Chinese
claudio's,Pizza,Fish & Chips
saints and sinners,Sand/Caf/Bake,Sand/Caf/Bake
the food engine,Sand/Caf/Bake,Sand/Caf/Bake
nafees restaurant,Indian,Indian
crispy bites,Chicken,Chicken
delice peri peri,Chicken,Chicken
mando's grill,Kebab,Kebab
the hot spot takeaway,Indian,Indian
chillos peri peri,Chicken,Chicken
milk sheikh,Indian,Desserts
chicka filla,Chicken,Chicken
the green hut at moreton hills,Sand/Caf/Bake,Sand/Caf/Bake
simply the best,Sand/Caf/Bake,Sand/Caf/Bake
viceroy,Indian,Indian
grillo's,Kebab,Kebab
kandy kaye,Desserts,Desserts
the exotic dining,Indian,Indian
keely oliver's catering service,Sand/Caf/Bake,Sand/Caf/Bake
nancy's kitchen,Sand/Caf/Bake,Sand/Caf/Bake
lynch box,Fast Food,Sand/Caf/Bake
tim's kitchen,Chinese,Chinese
kin,Chinese,Chinese
caspian,Pizza,Pizza
tubbees,Desserts,Desserts
mr.toppings,Pizza,Pizza
captains table,Fish & Chips,Fish & Chips
i am doner,Pizza,Kebab
sea chef,Chinese,Fish & Chips
delish,Sand/Caf/Bake,Sand/Caf/Bake
rees's diner,Sand/Caf/Bake,Sand/Caf/Bake
sankey sizzlers,Kebab,Kebab
laguna restaurant,Indian,Indian
papillon,Sand/Caf/Bake,Sand/Caf/Bake
rk super grill,Kebab,Kebab
bebby's brunch @ foodstars,Sand/Caf/Bake,Sand/Caf/Bake
marlei munchies,Desserts,Desserts
chaipoint and street food,Sand/Caf/Bake,Sand/Caf/Bake
the mermaid takeaway,Fish & Chips,Fish & Chips
chopatti,Indian,Indian
gio's,Pizza,Pizza
cafe remy cambridge,Sand/Caf/Bake,Sand/Caf/Bake
norah's cafe and restaurant,Sand/Caf/Bake,Sand/Caf/Bake
jin ocean takeaway,Chinese,Chinese
rizq peri peri grill,Chicken,Chicken
pomo,Pizza,Pizza
koibito,Pizza,Sand/Caf/Bake
caspian fast food takeaway,Fast Food,Fast Food
the london peri peri,Chicken,Chicken
sham grill,Kebab,Kebab
crunch munch perth,Desserts,Desserts
bodrum takeaway,Kebab,Kebab
jackie chan,Chinese,Chinese
island grill express,Chicken,Chicken
h2u,Chinese,Chinese
caffe monza,Sand/Caf/Bake,Sand/Caf/Bake
dilli's,Pizza,Pizza
zing zing,Chinese,Chinese
cilantro,Pizza,Pizza
brit grill,Kebab,Kebab
anoki,Indian,Indian
vegan express takeaway,Pizza,Pizza
gills golden takeaway,Fish & Chips,Fish & Chips
eats and treats,Desserts,Sand/Caf/Bake
prego,Pizza,Pizza
harry georgio cuisine,Chinese,Chinese
brunch takeaway,Sand/Caf/Bake,Sand/Caf/Bake
mega bite,Pizza,Pizza
big mamma,Pizza,Pizza
cafe mimi,Sand/Caf/Bake,Sand/Caf/Bake
beechwood bbq grill,Kebab,Kebab
gaeta,Pizza,Pizza
maddie's marvellous munchies,Desserts,Desserts
ahmed's,Indian,Indian
the viceroy fine dining,Indian,Indian
deli fusion,Sand/Caf/Bake,Sand/Caf/Bake
casablanca cafe,Sand/Caf/Bake,Sand/Caf/Bake
barbican food hut,Chicken,Chicken
vigo grillxxunk kebabxxunkfish and chips and pizza,Fast Food,Fast Food
la chai,Indian,Indian
old town friar,Fish & Chips,Fish & Chips
the blue elephant,Indian,Indian
kebabish scunthorpe,Kebab,Kebab
babajan's,Pizza,Pizza
vegas grill,Pizza,Pizza
diyab ocean,Indian,Indian
bambang,Chinese,Chinese
ado's,Pizza,Pizza
giulio's,Fish & Chips,Fish & Chips
anzar's takeaway,Indian,Indian
king of the grill,Kebab,Kebab
exeter fried chicken fish and chips,Fish & Chips,Fish & Chips
flamino's - leeds,Pizza,Pizza
sultanahmet grill koftecisi,Kebab,Kebab
captain tony's cafe,Sand/Caf/Bake,Sand/Caf/Bake
marios takeaway,Fish & Chips,Fish & Chips
3 five 1 restaurant,Indian,Indian
dunya doner,Pizza,Pizza
zorba takeaway,Kebab,Kebab
daric persian barbeque,Kebab,Kebab
dawat art of cooking,Indian,Indian
the longford engine,Sand/Caf/Bake,Sand/Caf/Bake
peppers grill,Kebab,Kebab
i chai,Chinese,Chinese
option 3,Pizza,Pizza
paston pizza kebab and fish and chips,Fast Food,Fast Food
the pasta kitchen,Pizza,Pizza
elite kebab and fish bar,Fish & Chips,Fish & Chips
little donk-dank,Chinese,Chinese
the lebanese taverna express,Kebab,Kebab
grill box peri peri,Chicken,Chicken
shakils,Indian,Indian
the kesar,Indian,Indian
benny's grill and desserts,Desserts,Desserts
o kitchen,Chinese,Chinese
fellas takeaway,Pizza,Pizza
five star,Chinese,Chinese
stonehouse,Pizza,Pizza
mashawi grill,Kebab,Kebab
yummies kebab and curry house,Kebab,Kebab
the hungry moose cafe,Sand/Caf/Bake,Sand/Caf/Bake
peck and yard,Chicken,Chicken
cod and wok,Fish & Chips,Fish & Chips
the gorge,Sand/Caf/Bake,Sand/Caf/Bake
frangos chicken and curry house,Indian,Indian
toscana takeaway,Pizza,Pizza
peri peri delight,Chicken,Chicken
i eat,Sand/Caf/Bake,Sand/Caf/Bake
mazzy's grill - rose hill,Kebab,Kebab
milano takeaway,Pizza,Pizza
pasha's peri peri,Chicken,Chicken
babo's,Kebab,Kebab
oxford grill,Kebab,Kebab
flames takeaway,Kebab,Kebab
snack shak,Sand/Caf/Bake,Sand/Caf/Bake
good pie mr chips,Fish & Chips,Fish & Chips
blue bay,Fish & Chips,Fish & Chips
fry chicks,Chicken,Chicken
frydays fish bar pizza and kebabs,Fast Food,Fast Food
v-doner,Kebab,Kebab
four seasons restaurant and bar,Chinese,Chinese
la banca,Pizza,Pizza
flames kebab and fish bar,Kebab,Kebab
surbiton chargrill,Kebab,Kebab
yo's restaurant,Chinese,Chinese
4 season express,Chinese,Chinese
kobeda king,Kebab,Kebab
le rooster,Chicken,Chicken
express bbq and fish bar,Fish & Chips,Fish & Chips
bubble waffle house and pizzeria,Desserts,Desserts
xxunkfcuk,Chicken,Chicken
fusion food,Chinese,Chinese
mash's wing ranch bury,Chicken,Chicken
lowfield grill,Kebab,Kebab
bagels with shakes,Desserts,Desserts
victoria grill peri peri,Chicken,Chicken
smoking bagels,Sand/Caf/Bake,Sand/Caf/Bake
pakistan hot and fast food takeaway,Fast Food,Fast Food
golden spoon cafe,Sand/Caf/Bake,Sand/Caf/Bake
wrapport,Sand/Caf/Bake,Sand/Caf/Bake
ciao takeaway - beverley,Pizza,Pizza
chick 'n' bites,Chicken,Chicken
saffron juice and ice cream bar,Desserts,Desserts
eastern kitchen,Chinese,Chinese
plaza cafe,Sand/Caf/Bake,Sand/Caf/Bake
church street takeaway,Indian,Indian
new romney grill,Kebab,Kebab
maemes's peri-peri,Chicken,Chicken
canton fish bar,Fish & Chips,Fish & Chips
mings,Chinese,Chinese
hassans grill,Kebab,Kebab
sanjha camberley,Indian,Indian
burritos at o'connells,Pizza,Pizza
kachina,Chinese,Chinese
chilli pepper fast food,Fast Food,Fast Food
fresh food kitchen,Sand/Caf/Bake,Sand/Caf/Bake
sarry suppers,Fish & Chips,Fish & Chips
asia 2 go,Chinese,Chinese
cafe plaka,Sand/Caf/Bake,Sand/Caf/Bake
dejavoo,Indian,Indian
jill's deli (fresh homemade food),Sand/Caf/Bake,Sand/Caf/Bake
asif,Indian,Indian
the red onion,Indian,Indian
treats2go,Desserts,Desserts
cha cha g'z,Indian,Indian
sanxia,Chinese,Chinese
new golden grill limited,Kebab,Kebab
il bebo's,Pizza,Pizza
doughlicious,Pizza,Pizza
sorrento in,Pizza,Pizza
the great kathmandu,Indian,Indian
the pastry shop,Sand/Caf/Bake,Sand/Caf/Bake
fusion fast food to go,Fast Food,Fast Food
singapore kitchen,Chinese,Chinese
soprano's,Pizza,Pizza
origano go,Pizza,Pizza
abbey grill,Kebab,Kebab
the siam orchid,Chinese,Chinese
berriesxxunk bagels and shakes 2,Desserts,Desserts
spicy grill and fry,Chicken,Chicken
southern river,Chinese,Chinese
ranya shawarma,Kebab,Kebab
noble house,Chinese,Chinese
b's batches,Sand/Caf/Bake,Sand/Caf/Bake
jasmin cottage,Chinese,Chinese
giovanni's,Fish & Chips,Fish & Chips
fast break,Sand/Caf/Bake,Sand/Caf/Bake
nadine's caribbean cafe,Chicken,Chicken
on a roll,Sand/Caf/Bake,Sand/Caf/Bake
godwin cafe and restaurant,Sand/Caf/Bake,Sand/Caf/Bake
spinney hill chippy and kebab house,Fish & Chips,Fish & Chips
wing ho,Chinese,Chinese
shaneys grill,Kebab,Kebab
gino's,Pizza,Pizza
lovely house,Chinese,Chinese
doner zamani,Kebab,Kebab
the best curry chinese take away,Chinese,Chinese
maria's cafe,Sand/Caf/Bake,Sand/Caf/Bake
mario's takeaway,Fish & Chips,Fish & Chips
maiwand restaurant,Indian,Indian
uziis cookies,Desserts,Desserts
k's grillhouse,Kebab,Kebab
nabzys,Chicken,Chicken
tasty yummy (yummy yummy),Chinese,Chinese
sea pebbles,Fish & Chips,Fish & Chips
agra,Indian,Indian
picasso express,Pizza,Pizza
wingbox hoylake,Chicken,Chicken
ganesha,Indian,Indian
bravo patisserie cafe,Desserts,Desserts
crazy chops delicatessen,Sand/Caf/Bake,Sand/Caf/Bake
penny farthing coffee house,Sand/Caf/Bake,Sand/Caf/Bake
mings takeaway,Chinese,Chinese
grill and meze house,Kebab,Kebab
tru spice caribbean restaurant,Chicken,Chicken
da felice,Pizza,Pizza
filiz,Pizza,Pizza
bake mates,Desserts,Desserts
marinis carfin,Fish & Chips,Fish & Chips
the fishing net,Fish & Chips,Fish & Chips
the golden chip,Fish & Chips,Fish & Chips
jims street food,Sand/Caf/Bake,Sand/Caf/Bake
german delights,Kebab,Kebab
the artino'z,Pizza,Pizza
pepper grill,Kebab,Kebab
simons kitchen,Chinese,Chinese
lemon grass,Indian,Indian
mully's kitchen,Sand/Caf/Bake,Sand/Caf/Bake
munchos grill,Kebab,Kebab
fatboys cafe and restaurant,Sand/Caf/Bake,Sand/Caf/Bake
cocoa caffe,Sand/Caf/Bake,Sand/Caf/Bake
u kitchen,Chinese,Chinese
bubble tap,Desserts,Desserts
rayin fast food,Fast Food,Fast Food
mazza finest indian and mazza pizza and burgers,Fast Food,Fast Food
empire house,Chinese,Chinese
belton fish and chip and kebab pizza,Fast Food,Fast Food
mix'n'match shoreditch,Fast Food,Fast Food
eddy's fast food and takeaway,Fast Food,Fast Food
the dilruba restaurant,Indian,Indian
purple flamez,Indian,Indian
new taste,Chinese,Chinese
bagel mania,Sand/Caf/Bake,Sand/Caf/Bake
nonno peppe,Pizza,Pizza
gourmet full house,Chinese,Chinese
maureen's caribbean takeaway,Chicken,Chicken
lakeside grill,Kebab,Kebab
silver tree,Chinese,Chinese
maeme's flame peri peri,Chicken,Chicken
new century 2000,Chinese,Chinese
marmaris pizza and grill skewen,Pizza,Pizza
olivez,Pizza,Pizza
rudie's jerk shack @ boxpark,Chicken,Chicken
cambridge grill,Kebab,Kebab
cafe artista,Sand/Caf/Bake,Sand/Caf/Bake
new jumbo hot food,Chinese,Chinese
the fiery grill and curry,Indian,Indian
metro cafe,Sand/Caf/Bake,Sand/Caf/Bake
kebanging,Kebab,Kebab
bangkok bay battersea,Chinese,Chinese
kazeems,Indian,Indian
donner 24,Kebab,Kebab
grillo's peri peri,Chicken,Chicken
feltham piri piri and grill house,Chicken,Chicken
roti pani,Indian,Indian
8 rocks deli and wine,Sand/Caf/Bake,Sand/Caf/Bake
papad,Indian,Indian
beaver grill,Kebab,Kebab
avenue fish bar kebab house,Fish & Chips,Fish & Chips
uncle b's kitchen,Sand/Caf/Bake,Sand/Caf/Bake
tiffany's cafe,Sand/Caf/Bake,Sand/Caf/Bake
santhi restaurant,Indian,Indian
the ashford cafe,Sand/Caf/Bake,Sand/Caf/Bake
heartsease oh yes kebabxxunk pizza and fish and chips,Fast Food,Fast Food
the frying scot,Fish & Chips,Fish & Chips
premier bakes,Desserts,Desserts
love peri peri,Chicken,Chicken
jee foo,Chinese,Chinese
garden grill,Kebab,Kebab
peri peri hut,Chicken,Chicken
happy fryer,Fish & Chips,Fish & Chips
tasty,Chicken,Chicken
peri n grill,Chicken,Chicken
acton grill,Kebab,Kebab
wingbox,Chicken,Chicken
mint room,Indian,Indian
sorrentinos,Pizza,Pizza
xpress peri peri,Chicken,Chicken
luca's cafe pronto,Sand/Caf/Bake,Sand/Caf/Bake
new mk peri peri,Chicken,Chicken
del fuoco,Pizza,Pizza
eastern paradise,Indian,Indian
robinsons bakery - west brom,Sand/Caf/Bake,Sand/Caf/Bake
streatham hill kebab and fish and chips house,Fish & Chips,Fish & Chips
buddhamama,Chinese,Chinese
reading grill,Kebab,Kebab
basmati takeaway,Indian,Indian
eastbrook cafe and restaurant,Sand/Caf/Bake,Sand/Caf/Bake
the pudding parlour,Desserts,Desserts
darbar,Indian,Indian
hot grill,Kebab,Kebab
that's thai,Chinese,Chinese
rosta cafe,Sand/Caf/Bake,Sand/Caf/Bake
lee's kitchen,Chinese,Chinese
pere waffle,Desserts,Desserts
maidstone grill,Kebab,Kebab
caffe lavena,Sand/Caf/Bake,Sand/Caf/Bake
jinnah bistro,Indian,Indian
peri chic,Chicken,Chicken
the old cathay and the phoenix restaurant,Chinese,Chinese
topolino's town,Pizza,Pizza
fry 'a' tucks cafe,Sand/Caf/Bake,Sand/Caf/Bake
golden shell,Chinese,Chinese
cafe bistro 23,Sand/Caf/Bake,Sand/Caf/Bake
bowl o'pho,Chinese,Chinese
welford bar and grill,Indian,Indian
jamuna,Indian,Indian
the rotisserie hub,Chicken,Chicken
kings fish and kebab house,Fish & Chips,Fish & Chips
the red fort restaurant,Indian,Indian
new rice hut,Chinese,Chinese
lau's kitchen,Chinese,Chinese
deli-licious,Sand/Caf/Bake,Sand/Caf/Bake
cummin up caribbean,Chicken,Chicken
totton grill,Kebab,Kebab
home cooking,Chinese,Chinese
kandy krunch,Desserts,Desserts
cafe west,Sand/Caf/Bake,Sand/Caf/Bake
fish and peri peri chicken,Fish & Chips,Fish & Chips
cathay princess,Chinese,Chinese
mr cook,Chinese,Chinese
jay dees fast food,Fast Food,Fast Food
uk's pizzeria,Pizza,Pizza
grill cottage,Chicken,Chicken
savannah lounge,Indian,Indian
desi fast food,Fast Food,Fast Food
green chilli cafe,Indian,Indian
hither grill,Kebab,Kebab
jaros grill,Kebab,Kebab
nafis fast food,Fast Food,Fast Food
silver ripple,Chinese,Chinese
fish lab (mercato metropolitano),Fish & Chips,Fish & Chips
andy's golden fry johnstone,Fish & Chips,Fish & Chips
west wings and grill,Chicken,Chicken
gourmet house,Chinese,Chinese
hanwell fish and kebab house,Fish & Chips,Fish & Chips
riverside,Chinese,Chinese
spice grill and pizza,Pizza,Pizza
bbq pit,Kebab,Kebab
romans pizzeria and bar,Pizza,Pizza
house donner,Kebab,Kebab
marinis ladywell,Fish & Chips,Fish & Chips
roshni's restaurant,Indian,Indian
adassa blu coffee bar and restaurant,Sand/Caf/Bake,Sand/Caf/Bake
ruusi,Indian,Indian
lochend fry,Fish & Chips,Fish & Chips
shamela's fresh hot and cold food,Sand/Caf/Bake,Sand/Caf/Bake
coco bean,Sand/Caf/Bake,Sand/Caf/Bake
babylon grill,Kebab,Kebab
milkshake city,Desserts,Desserts
omar's,Indian,Indian
the cafe by lilypops,Sand/Caf/Bake,Sand/Caf/Bake
mercer's bakery,Sand/Caf/Bake,Sand/Caf/Bake
noor's,Indian,Indian
off the waffle,Desserts,Desserts
istanbul kebab bombain cottage,Kebab,Kebab
jade unicorn,Chinese,Chinese
tasty house,Chinese,Chinese
chick corner,Chicken,Chicken
laroash kebab take away,Kebab,Kebab
milk sheikhs,Desserts,Desserts
annies bistro,Sand/Caf/Bake,Sand/Caf/Bake
peri peri hub,Chicken,Chicken
caspian sea fish bar,Fish & Chips,Fish & Chips
rioja mediterranean tapas,Pizza,Pizza
afc express,Chicken,Chicken
ibbys and racca green fast food,Fast Food,Fast Food
nanjoos peri peri,Chicken,Chicken
get stuffed,Sand/Caf/Bake,Sand/Caf/Bake
periliciouz,Chicken,Chicken
tasties pizzeria,Pizza,Pizza
the city grill,Kebab,Kebab
the munch box,Sand/Caf/Bake,Sand/Caf/Bake
newport grill,Kebab,Kebab
olympic fast food,Fast Food,Fast Food
sizzlers fast food,Fast Food,Fast Food
jassy's pizzeria,Pizza,Pizza
miami pizza and fish bar,Fish & Chips,Fish & Chips
spice-n-nice pizza,Pizza,Pizza
new lodge fisheries,Fish & Chips,Fish & Chips
good food 4 u,Chinese,Chinese
rose peri peri grill,Chicken,Chicken
lime n chilli,Indian,Indian
rajas fast food,Fast Food,Fast Food
tz peri peri,Chicken,Chicken
marios fast food,Fast Food,Fast Food
barmy sarnies,Sand/Caf/Bake,Sand/Caf/Bake
cafe white rose,Sand/Caf/Bake,Sand/Caf/Bake
kat's cabin,Sand/Caf/Bake,Sand/Caf/Bake
artizan cafe,Sand/Caf/Bake,Sand/Caf/Bake
pisa pizzeria,Pizza,Pizza
foo lin,Chinese,Chinese
star coffee patisserie,Sand/Caf/Bake,Sand/Caf/Bake
medina delights ltd,Desserts,Desserts
shayan persian takeaway,Kebab,Kebab
cafe cross the mersey,Sand/Caf/Bake,Sand/Caf/Bake
padrinos,Pizza,Pizza
sinple treats,Desserts,Desserts
marinis,Fish & Chips,Fish & Chips
peri peri pepper,Chicken,Chicken
fanelli's,Pizza,Pizza
dimsum box,Chinese,Chinese
pizza and shakes,Pizza,Pizza
to a tea blackfriars,Sand/Caf/Bake,Sand/Caf/Bake
rainbow,Chinese,Chinese
roosters point,Chicken,Chicken
shimla restaurant and takeaway,Indian,Indian
mystic river caribbean cuisine,Chicken,Chicken
tennessee express 2,Chicken,Chicken
kn peri peri grill,Chicken,Chicken
qfc,Chicken,Chicken
piri chicko,Chicken,Chicken
iso sushi wok and grill,Chinese,Chinese
carmello's coffee restaurant,Sand/Caf/Bake,Sand/Caf/Bake
lily's bistro,Sand/Caf/Bake,Sand/Caf/Bake
paulina's cakes,Desserts,Desserts
wing wah delight,Chinese,Chinese
merkland cafe,Sand/Caf/Bake,Sand/Caf/Bake
super kitchen,Chinese,Chinese
rice house of kebab and wrap,Kebab,Kebab
peking delight,Chinese,Chinese
kennington grill,Kebab,Kebab
efes grill,Kebab,Kebab
fabio's peri peri,Chicken,Chicken
copland cafe,Sand/Caf/Bake,Sand/Caf/Bake
hasty tasty peri peri,Chicken,Chicken
crown cafe,Sand/Caf/Bake,Sand/Caf/Bake
gelato divino,Desserts,Desserts
roo's cafe,Sand/Caf/Bake,Sand/Caf/Bake
portswood piri piri,Chicken,Chicken
absurd bird,Chicken,Chicken
the roll shop,Sand/Caf/Bake,Sand/Caf/Bake
cochini,Pizza,Pizza
naz's cuisine,Indian,Indian
morrisco's peri peri,Chicken,Chicken
miriam's munchies,Desserts,Desserts
the hungry wolf cafe,Sand/Caf/Bake,Sand/Caf/Bake
grill and pizza express,Pizza,Pizza
graig fry,Fish & Chips,Fish & Chips
indos,Indian,Indian
tamarind,Indian,Indian
skoopz,Desserts,Desserts
gillygate fisheries and kebab house,Fish & Chips,Fish & Chips
impizzable,Pizza,Pizza
chick king and pizza,Pizza,Pizza
kaynak family kebab house,Kebab,Kebab
golden states,Chinese,Chinese
la gondola,Pizza,Pizza
casa mia,Pizza,Pizza
gino's pizzeria,Pizza,Pizza
bua thai kitchen @ north point hotel,Chinese,Chinese
thatcham kebabs,Kebab,Kebab
marks gate best bbq @ the harrow,Kebab,Kebab
carla's cafe,Sand/Caf/Bake,Sand/Caf/Bake
bismillah restaurant,Indian,Indian
the doughjo pizzeria,Pizza,Pizza
mapa cafe,Sand/Caf/Bake,Sand/Caf/Bake
flames grill,Kebab,Kebab
sugar london road,Desserts,Desserts
yangtze,Chinese,Chinese
peri peri bites,Chicken,Chicken
classic shawarma,Kebab,Kebab
ivory arch,Indian,Indian
cuccina,Pizza,Pizza
little canteen,Chinese,Chinese
empire bbq,Kebab,Kebab
it's thai food time,Chinese,Chinese
avenue fishxxunk chicken and pizza,Fast Food,Fast Food
burnage fast food,Fast Food,Fast Food
bagelmania,Sand/Caf/Bake,Sand/Caf/Bake
chefry,Fish & Chips,Fish & Chips
clydach kebab house,Kebab,Kebab
ramis kebab shop,Kebab,Kebab
four in one fast food restaurant,Fast Food,Fast Food
marmaris fish and chipsxxunk kebabs and pizza house,Fast Food,Fast Food
village pizzeria,Pizza,Pizza
trattoria urbana,Pizza,Pizza
chop chop,Chinese,Chinese
bashundora,Indian,Indian
yuan's,Chinese,Chinese
maveli restaurant,Indian,Indian
chicky peri peri,Chicken,Chicken
7-hills kebabs,Kebab,Kebab
bryter moon deli,Sand/Caf/Bake,Sand/Caf/Bake
hippos pizza,Pizza,Pizza
happy coffee,Sand/Caf/Bake,Sand/Caf/Bake
mr. man and mr. pang,Chinese,Chinese
chatham kebab house,Kebab,Kebab
cafe collections,Sand/Caf/Bake,Sand/Caf/Bake
chef for you,Chinese,Chinese
